Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0046907~intracellular transport	44	12.121212121212121	8.95120760118319E-6	FYTTD1, RAB5B, PXK, ABCD3, TRAF3IP1, GOSR1, DERL1, TEX261, PIK3R1, TRAK1, ELAVL1, NUP160, WASHC2A, SCFD1, TTC21B, AP1S2, STX6, SNX9, EVI5, RAB6B, BORCS7, ARSB, TMED5, BORCS5, ANKRD27, VPS33A, CEP131, SNF8, PML, CLIP3, NUP93, ACAP2, LSG1, ALS2, KIFBP, BBS12, PEX6, RAB13, CHMP2B, NUP35, KDELR2, COPG2, GOPC, CNIH4	328	1261	19339	2.057300632482931	0.03377145964445927	0.02549938977619088	0.02530007198221336
GOTERM_BP_FAT	GO:0045184~establishment of protein localization	46	12.672176308539946	1.3287852931834747E-5	RAB5B, PXK, NECAB3, GOSR1, AKAP8, DERL1, PIK3R1, TRAK1, ELAVL1, NUP160, WASHC2A, SCAMP5, SCFD1, SYNGR1, AP1S2, STX6, SNX9, RAB6B, GPM6B, TMED5, GET4, UBL4A, BBS1, ANKRD27, SGTB, VPS33A, CEP131, TVP23A, SNF8, PML, CLIP3, NUP93, LSG1, RABIF, FCHSD2, PEX6, TAOK2, RAB13, CHMP2B, ATG4B, NUP35, ATG4A, KDELR2, COPG2, GOPC, CNIH4	328	1368	19339	1.9825854015119102	0.0497204916897821	0.02549938977619088	0.02530007198221336
GOTERM_BP_FAT	GO:0015031~protein transport	40	11.019283746556475	2.4881455664748183E-5	RAB5B, PXK, NECAB3, GOSR1, AKAP8, DERL1, PIK3R1, ELAVL1, NUP160, WASHC2A, SCAMP5, SCFD1, AP1S2, STX6, SNX9, RAB6B, GPM6B, TMED5, BBS1, ANKRD27, VPS33A, CEP131, TVP23A, SNF8, PML, CLIP3, NUP93, LSG1, RABIF, FCHSD2, PEX6, RAB13, CHMP2B, ATG4B, NUP35, ATG4A, KDELR2, COPG2, GOPC, CNIH4	328	1144	19339	2.0615512536244243	0.09107819798245831	0.028679993411540254	0.02845581420300815
GOTERM_BP_FAT	GO:0051641~cellular localization	76	20.9366391184573	3.5017064435752626E-5	ABCD3, TRAF3IP1, ELAVL1, WASHC2A, SCAMP5, SIN3A, AP1S2, TMEM38B, BORCS7, TMED5, GET4, BORCS5, VPS33A, CEP131, PAQR3, LEMD2, CLIP3, LATS1, EML4, NUP93, MMS22L, LSG1, ACAP2, FCHSD2, ALS2, KIFBP, BBS12, PEX6, DNAJC5, ATG4B, ATG4A, KDELR2, SCG3, FYTTD1, RAB5B, PXK, NECAB3, GOSR1, AKAP8, DERL1, TEX261, THY1, PIK3R1, SLC1A6, TRAK1, NUP160, SYNGR1, SCFD1, TTC21B, STX6, SNX9, EVI5, RAB6B, GPM6B, ARSB, ASIC1, AKAIN1, UBL4A, BBS1, CDT1, TOR1A, PRRT2, ANKRD27, SGTB, SEPTIN6, TVP23A, SNF8, PML, RABIF, TAOK2, RAB13, CHMP2B, NUP35, GOPC, COPG2, CNIH4	328	2826	19339	1.5856290887749642	0.12575781872248115	0.028679993411540254	0.02845581420300815
GOTERM_BP_FAT	GO:0016358~dendrite development	11	3.0303030303030303	3.7363201422017006E-5	BBS1, ABITRAM, UBA6, TAOK2, DIP2A, PHACTR1, EPHB2, FEZF2, PAK3, TRAK1, CRKL	328	120	19339	5.404700203252033	0.13359485596861198	0.028679993411540254	0.02845581420300815
GOTERM_BP_FAT	GO:0051649~establishment of localization in cell	52	14.325068870523417	5.607930562753859E-5	ABCD3, TRAF3IP1, ELAVL1, WASHC2A, AP1S2, TMEM38B, BORCS7, TMED5, BORCS5, VPS33A, CEP131, CLIP3, EML4, NUP93, LSG1, ACAP2, ALS2, KIFBP, BBS12, PEX6, DNAJC5, KDELR2, FYTTD1, RAB5B, PXK, GOSR1, DERL1, TEX261, PIK3R1, SLC1A6, TRAK1, NUP160, SCFD1, TTC21B, STX6, SNX9, EVI5, RAB6B, ARSB, ASIC1, CDT1, TOR1A, PRRT2, ANKRD27, SNF8, PML, RAB13, CHMP2B, NUP35, GOPC, COPG2, CNIH4	328	1722	19339	1.7804523951162858	0.19365082466153682	0.03587206249974885	0.03559166597161116
GOTERM_BP_FAT	GO:0043412~macromolecule modification	59	16.2534435261708	1.165389437406377E-4	USP37, EHMT2, USP34, UBE2Z, HERC4, PPP3CB, RNF115, RNF19A, RXYLT1, EP300, EPHB2, UNKL, CDKL3, P3H1, DUSP6, KLHL42, CLIP3, LATS1, QTRT2, NEIL2, TRAF6, KCTD13, ATG4B, PPIE, ATG4A, CUL7, ANKRD16, UBA6, RPN1, TRAK1, CAMKK2, DCAF17, STAMBPL1, EEF2KMT, RIPK1, FEM1C, DCAF11, FDXACB1, UBL4A, NUS1, ATE1, PTPN18, NSUN5P1, TOR1A, ST8SIA2, SRD5A3, MOK, EIF2AK3, BFAR, PML, ABHD17B, WNK2, TAOK2, TPP2, TRIP12, PTPN4, TRIM33, FGFR1, OTUD3	328	2102	19339	1.6549293936088743	0.36064954410500516	0.05422740748417698	0.05380353509633818
GOTERM_BP_FAT	GO:0019941~modification-dependent protein catabolic process	24	6.6115702479338845	1.377332876737155E-4	UBL4A, APC2, ATE1, CUL7, WDR26, UBA6, DERL1, BFAR, SNF8, UBE2Z, PML, KLHL42, AMN1, HERC4, RNF115, RNF19A, CHMP2B, PBK, PCYOX1L, KCTD13, FEM1C, TRIP12, DCAF11, GET4	328	577	19339	2.452424229614913	0.4106038647222021	0.05422740748417698	0.05380353509633818
GOTERM_BP_FAT	GO:0008104~protein localization	58	15.977961432506888	1.4967603241778298E-4	ELAVL1, WASHC2A, SCAMP5, SIN3A, AP1S2, TMED5, GET4, VPS33A, CEP131, PAQR3, LEMD2, CLIP3, LATS1, NUP93, MMS22L, LSG1, FCHSD2, ALS2, PEX6, ATG4B, ATG4A, KDELR2, SCG3, RAB5B, PXK, NECAB3, GOSR1, AKAP8, DERL1, THY1, PIK3R1, TRAK1, NUP160, SYNGR1, SCFD1, TTC21B, STX6, SNX9, RAB6B, GPM6B, AKAIN1, UBL4A, BBS1, TOR1A, ANKRD27, SGTB, SEPTIN6, TVP23A, SNF8, PML, RABIF, TAOK2, RAB13, CHMP2B, NUP35, GOPC, COPG2, CNIH4	328	2073	19339	1.6496387937830173	0.43701348766353965	0.05422740748417698	0.05380353509633818
GOTERM_BP_FAT	GO:0043632~modification-dependent macromolecule catabolic process	24	6.6115702479338845	1.5596971813898068E-4	UBL4A, APC2, ATE1, CUL7, WDR26, UBA6, DERL1, BFAR, SNF8, UBE2Z, PML, KLHL42, AMN1, HERC4, RNF115, RNF19A, CHMP2B, PBK, PCYOX1L, KCTD13, FEM1C, TRIP12, DCAF11, GET4	328	582	19339	2.4313552929343727	0.45045162021397067	0.05422740748417698	0.05380353509633818
