gene_id	Ex	In	Pro	CP	GZ	dgDPAU_bulk	Type	dgDPAU_sc
1	ACOT9	0.161290322580645	NA	0	0.485029321346457	0.283522016156559	0.201507305189898	lengthen	0.161290322580645
2	AK5	0.4375	NA	0.269230769230769	0.86241689688582	0.678922136631741	0.183494760254079	lengthen	0.168269230769231
3	ANKRD28	0.313725490196078	0	0.0555555555555556	0.402331804281346	0.202348190738284	0.199983613543062	lengthen	0.258169934640522
4	ANKS1B	0.471571906354515	0.628205128205128	0.767206477732794	0.79574285363759	0.383101851851852	0.412641001785739	lengthen	-0.295634571378279
5	AP1S2	0.737062937062937	0.674486803519062	0.518981018981019	0.712144148202288	0.47719265711344	0.234951491088848	lengthen	0.218081918081918
6	ARL15	0.73	1	0.5	0.814692778191754	0.593687488634297	0.221005289557456	lengthen	0.23
7	ARL3	0.357288481141692	0.347619047619048	0.343322818086225	0.858331747715697	0.693543859133243	0.164787888582453	lengthen	0.013965663055467
8	ARPC5L	0.398148148148148	0.125	0.313953488372093	0.742929912498853	0.625221908939014	0.117708003559839	lengthen	0.0841946597760549
9	ARPP19	0.428571428571429	0.333333333333333	0.533333333333333	0.462865167939629	0.567996749021492	-0.105131581081863	shorten	-0.104761904761904
10	ASCC3	0.227272727272727	0	0.0526315789473684	0.768178621659634	0.929875283446712	-0.161696661787078	shorten	0.174641148325359
11	ASPH	0.465336134453781	0.222222222222222	0.612459546925566	0.380256445038864	0.496659910064723	-0.116403465025859	shorten	-0.147123412471785
12	ATAT1	0.77810650887574	0.732142857142857	0.892857142857143	0.553728114264735	0.713962599279672	-0.160234485014937	shorten	-0.114750633981403
13	ATP2A2	0.561224489795918	0	0.368421052631579	0.803884625809619	0.422671782912747	0.381212842896872	lengthen	0.192803437164339
14	ATP2B4	0.2375	0.25	0.580357142857143	0.420260328239955	0.748869910282954	-0.328609582042999	shorten	-0.342857142857143
15	ATP2C1	0.58984375	0.62037037037037	0.57312925170068	0.579558257538572	0.470099111266087	0.109459146272484	lengthen	0.01671449829932
16	BAIAP2	0.472222222222222	1	0.948717948717949	0.742375128250251	0.930911535313162	-0.188536407062911	shorten	-0.476495726495727
17	BCAR3	0	NA	0.28	0.827465212576436	0.983366336633663	-0.155901124057227	shorten	-0.28
18	BMERB1	0.639370078740157	0.558974358974359	0.759649122807018	0.127160385162982	0.291100220918747	-0.163939835755766	shorten	-0.120279044066861
19	BRWD1	0.464462809917355	0.552706552706553	0.537878787878788	0.254038503463175	0.36895392465463	-0.114915421191454	shorten	-0.073415977961433
20	C1orf21	0.458333333333333	0.552941176470588	0.452830188679245	0.254704084658148	0.584278994966018	-0.32957491030787	shorten	0.00550314465408797
21	CACNA2D1	0.533827618164968	NA	0.370967741935484	0.772912317117813	0.615360433604336	0.157551883513477	lengthen	0.162859876229484
22	CALM1	0.645384013097018	0.628571428571429	0.704954454565652	0.574558162514738	0.409846205162763	0.164711957351975	lengthen	-0.059570441468634
23	CAMSAP1	0.461538461538462	NA	0.5	0.70493033665392	0.598686877787288	0.106243458866632	lengthen	-0.038461538461538
24	CCT6A	0.605990783410138	0.714285714285714	0.588260681916271	0.681358131979866	0.555322593375327	0.12603553860454	lengthen	0.017730101493867
25	CD47	0.504081632653061	0.75	0.574311926605505	0.698730147189808	0.571015561547349	0.127714585642459	lengthen	-0.070230293952444
26	CDC42	0.386928799149841	0.605194805194805	0.704375	0.443588397776237	0.788149065885454	-0.344560668109217	shorten	-0.317446200850159
27	CDH2	0.470394736842105	0.694852941176471	0.297669491525424	0.857418898019267	0.726327855689862	0.131091042329405	lengthen	0.172725245316681
28	CDK16	0.426395939086294	NA	0.517647058823529	0.826735871844858	0.709368522692725	0.117367349152132	lengthen	-0.091251119737235
29	CELF4	0.252336448598131	0.243589743589744	0	0.828644382461256	0.621721721721722	0.206922660739534	lengthen	0.252336448598131
30	CENPF	0.35859375	0.6	0.298165137614679	0.597220622803662	0.49600274214778	0.101217880655882	lengthen	0.060428612385321
31	CHD3	0.334353741496599	0.348958333333333	0.282	0.785519564038716	0.659919769653706	0.125599794385009	lengthen	0.052353741496599
32	CLASP1	0.583838383838384	0.537037037037037	0.612052730696799	0.682393808902953	0.552119266356306	0.130274542546646	lengthen	-0.028214346858415
33	CNKSR2	0.9	1	0.666666666666667	0.752659220383617	0.497975996606134	0.254683223777484	lengthen	0.233333333333333
34	CNOT7	0.732558139534884	0.64	0.894736842105263	0.726729085077011	0.874283245993772	-0.147554160916762	shorten	-0.162178702570379
35	CNTN1	0.471264367816092	NA	0.25	0.863134783314908	0.745527298932317	0.117607484382591	lengthen	0.221264367816092
36	CRTC1	0.0333333333333333	0	0.0476190476190476	0.668919926833374	0.548324630664358	0.120595296169015	lengthen	-0.0142857142857143
37	CSNK1G3	0.39021164021164	0.647058823529412	0.458024691358025	0.826783176837702	0.702861813683765	0.123921363153937	lengthen	-0.067813051146385
38	CXCL12	0.530769230769231	NA	0.583941605839416	0.330662393162393	0.204889034466833	0.12577335869556	lengthen	-0.053172375070185
39	CYB5B	0.545918367346939	0.479166666666667	0.45	0.320087733910822	0.167174397274633	0.152913336636189	lengthen	0.095918367346939
40	DCAF16	0.632727272727273	NA	0.7	0.40910009784182	0.208896764181317	0.200203333660503	lengthen	-0.0672727272727269
41	DLG2	0.59047619047619	0.5	0.5	0.61028683784409	0.384769955654102	0.225516882189988	lengthen	0.09047619047619
42	DPY19L4	1	0	0.457142857142857	0.633292383292383	0.300865894958227	0.332426488334157	lengthen	0.542857142857143
43	DZANK1	0.461538461538462	0	0	0.768145583874061	0.890631246825937	-0.122485662951876	shorten	0.461538461538462
44	EIF3K	0.988439306358382	0.925	0.91588785046729	0.703817966903073	0.931264740884994	-0.227446773981921	shorten	0.0725514558910919
45	ELAVL1	0.735576923076923	NA	0.503787878787879	0.414226671016851	0.25128137435256	0.162945296664291	lengthen	0.231789044289044
46	EPHA7	0.509090909090909	0.340909090909091	0.556363636363636	0.438572456949504	0.587420893328455	-0.148848436378951	shorten	-0.0472727272727269
47	ETAA1	0.666666666666667	0.333333333333333	0.297297297297297	0.699240232491464	0.563394599450033	0.135845633041431	lengthen	0.36936936936937
48	ETF1	0.553264604810996	0.666666666666667	0.636363636363636	0.763786448736919	0.632707157290988	0.13107929144593	lengthen	-0.08309903155264
49	EXD3	0.333333333333333	0	0.6	0.937508144029883	0.69420648518307	0.243301658846813	lengthen	-0.266666666666667
50	EXOSC7	0.347826086956522	0.4	0.120689655172414	0.694063135990487	0.505383055078795	0.188680080911692	lengthen	0.227136431784108
51	FAM199X	0.193798449612403	0.148148148148148	0.176767676767677	0.175617175617176	0.0669822675432922	0.108634908073883	lengthen	0.017030772844726
52	FCHSD2	0.514285714285714	0.5	0.227272727272727	0.919260484418479	0.787400361851876	0.131860122566603	lengthen	0.287012987012987
53	G2E3	0.432432432432432	0.363636363636364	0.51875	0.530815830891132	0.394813777362797	0.136002053528335	lengthen	-0.086317567567568
54	GNAO1	0.516034985422741	0.411654135338346	0.415778251599147	0.680724505327245	0.238665282548085	0.44205922277916	lengthen	0.100256733823594
55	GNG4	0.624203821656051	0.4	0.653012048192771	0.760719108180248	0.591018025022838	0.16970108315741	lengthen	-0.02880822653672
56	GPATCH2L	0.39010989010989	0.464285714285714	0.467532467532468	0.592220748600059	0.433145456656428	0.15907529194363	lengthen	-0.077422577422578
57	GPRC5B	0.135714285714286	0.3	0.277777777777778	0.369950012414762	0.261454707499553	0.10849530491521	lengthen	-0.142063492063492
58	HAT1	0.494186046511628	NA	0.483333333333333	0.345294285526114	0.176648423674379	0.168645861851735	lengthen	0.010852713178295
59	HNRNPC	0.386310566258027	0.362962962962963	0.39703425229741	0.557899033162891	0.432509229103656	0.125389804059235	lengthen	-0.010723686039383
60	HSPA4	0.483091787439614	0.385057471264368	0.4609375	0.527222671897448	0.30987095692978	0.217351714967667	lengthen	0.022154287439614
61	IDH2	0.554824561403509	0.542553191489362	0.545819935691318	0.422523854892775	0.304101241700832	0.118422613191943	lengthen	0.00900462571219096
62	ING3	0.827586206896552	0.833333333333333	0.84	0.396825396825397	0.0344827586206897	0.362342638204707	lengthen	-0.0124137931034479
63	IPO5	0.419463087248322	0.283333333333333	0.479878048780488	0.423242154757133	0.319359447627478	0.103882707129656	lengthen	-0.060414961532166
64	JPX	0.489247311827957	0.5	0.475490196078431	0.57452512254902	0.412199253287928	0.162325869261092	lengthen	0.013757115749526
65	KCNQ2	0.0607142857142857	0.0476190476190476	0.00404858299595142	0.808011849261849	0.43949872966857	0.368513119593279	lengthen	0.0566657027183343
66	KIAA0319	0.647058823529412	NA	NA	0.506435057344612	0.255065359477124	0.251369697867488	lengthen	NA
67	KIF21B	0.543859649122807	1	NA	0.675988364899286	0.888878551777443	-0.212890186878157	shorten	NA
68	LAMP2	0.44	0.666666666666667	0.313725490196078	0.813253234925291	0.457372050073759	0.355881184851532	lengthen	0.126274509803922
69	LAS1L	0.729559748427673	0.743589743589744	0.733333333333333	0.795819693977205	0.906137451468858	-0.110317757491654	shorten	-0.00377358490565993
