Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0015031~protein transport	56	13.023255813953488	3.411314971867513E-9	IPO13, CLSTN1, MLC1, RAB22A, PPP3CA, AP3S1, NEO1, APPL2, RAB8A, KPNA1, MED1, TANGO6, COG7, COG6, EXOC7, STRADB, VPS33B, ARRDC3, ARFGAP2, RAB33B, TOM1L1, LRRC7, NUP50, NUP54, KIF20A, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, STXBP3, ARL1, B3GLCT, VPS26C, NMD3, EHBP1, MTM1, RAB21, RAB11FIP2, EPS15, ANKRD50, SNX5, TRMT10B, PTPRN2, MTX3, STAT3, STAM, ARCN1, KLHL20, TIMM10B, EHD1, NECAP1, NF1, SEC24C	398	1144	19339	2.378553607196823	1.4559386491197479E-5	1.4559492299930546E-5	1.4528790465183739E-5
GOTERM_BP_FAT	GO:0045184~establishment of protein localization	60	13.953488372093023	4.399193637943375E-8	IPO13, CLSTN1, MLC1, RAB22A, PPP3CA, AP3S1, NEO1, APPL2, RAB8A, KPNA1, MED1, TANGO6, COG7, COG6, EXOC7, STRADB, VPS33B, ARRDC3, ARFGAP2, RAB33B, TOM1L1, LRRC7, NUP50, WDPCP, NUP54, KIF20A, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, STXBP3, ARL1, B3GLCT, VPS26C, NMD3, ZDHHC22, EHBP1, MTM1, RAB21, EMC4, RAB11FIP2, EPS15, ANKRD50, SNX5, TRMT10B, PTPRN2, MTX3, STAT3, STAM, GDAP1, ARCN1, KLHL20, TIMM10B, EHD1, NECAP1, NF1, SEC24C	398	1368	19339	2.1311601868994092	1.8773996344745303E-4	9.387879223371163E-5	9.368082852000417E-5
GOTERM_BP_FAT	GO:0008104~protein localization	79	18.372093023255815	8.026666059980518E-8	DPP10, RB1, IPO13, CLSTN1, MLC1, RAB22A, SEPTIN10, PPP3CA, ODR4, AP3S1, NEO1, APPL2, RAB8A, JAK1, KPNA1, BRD2, MED1, TANGO6, COG7, COG6, EXOC7, STRADB, VPS33B, ARRDC3, ARHGEF18, ESCO2, ARFGAP2, RAB33B, TOM1L1, LRRC7, NUP50, WDPCP, NUP54, KIF20A, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, STXBP3, ARL1, B3GLCT, VPS26C, NMD3, ZDHHC22, EHBP1, MTM1, RAB21, CDC42, MAPK9, FCHO2, TRIM46, EMC4, RAB11FIP2, EPS15, ANKRD50, SNX5, RIC3, TRMT10B, PTPRN2, MTX3, STAT3, DHCR24, CPLANE1, STAM, BAIAP2, GDAP1, MLH3, ARCN1, KLHL20, TIMM10B, EHD1, DLG1, NECAP1, NF1, RAD17, SEC24C	398	2073	19339	1.8517345531322797	3.4251944822460967E-4	1.0131516455900557E-4	1.0110151964779866E-4
GOTERM_BP_FAT	GO:0070727~cellular macromolecule localization	79	18.372093023255815	9.495329386973342E-8	DPP10, RB1, IPO13, CLSTN1, MLC1, RAB22A, SEPTIN10, PPP3CA, ODR4, AP3S1, NEO1, APPL2, RAB8A, JAK1, KPNA1, BRD2, MED1, TANGO6, COG7, COG6, EXOC7, STRADB, VPS33B, ARRDC3, ARHGEF18, ESCO2, ARFGAP2, RAB33B, TOM1L1, LRRC7, NUP50, WDPCP, NUP54, KIF20A, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, STXBP3, ARL1, B3GLCT, VPS26C, NMD3, ZDHHC22, EHBP1, MTM1, RAB21, CDC42, MAPK9, FCHO2, TRIM46, EMC4, RAB11FIP2, EPS15, ANKRD50, SNX5, RIC3, TRMT10B, PTPRN2, MTX3, STAT3, DHCR24, CPLANE1, STAM, BAIAP2, GDAP1, MLH3, ARCN1, KLHL20, TIMM10B, EHD1, DLG1, NECAP1, NF1, RAD17, SEC24C	398	2081	19339	1.8446159195786718	4.0517857056487916E-4	1.0131516455900557E-4	1.0110151964779866E-4
GOTERM_BP_FAT	GO:0033036~macromolecule localization	86	20.0	2.4444936156865357E-6	DPP10, RB1, IPO13, CLSTN1, MLC1, RAB22A, SEPTIN10, PPP3CA, ODR4, AP3S1, NEO1, APPL2, RAB8A, JAK1, KPNA1, BRD2, MED1, STARD4, PLA2G12A, TANGO6, COG7, COG6, EXOC7, STRADB, VPS33B, ARRDC3, ARHGEF18, ESCO2, ARFGAP2, RAB33B, TOM1L1, LRRC7, NUP50, WDPCP, NUP54, KIF20A, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, SLC66A2, STXBP3, NAXE, ARL1, B3GLCT, VPS26C, NMD3, ZDHHC22, EHBP1, MTM1, RAB21, CDC42, MAPK9, FCHO2, TRIM46, EMC4, RAB11FIP2, EPS15, ATP9B, ANKRD50, SNX5, STAT5B, RIC3, TRMT10B, PTPRN2, MTX3, STAT3, DHCR24, CPLANE1, STAM, BAIAP2, GDAP1, MLH3, ARCN1, KLHL20, TIMM10B, EHD1, DLG1, NECAP1, NF1, RAD17, SEC24C, CDS2	398	2532	19339	1.650386609191296	0.01037887537662785	0.002086619750350027	0.002082219661841791
GOTERM_BP_FAT	GO:0051641~cellular localization	92	21.3953488372093	5.5386651857381175E-6	DPP10, RB1, ITSN2, IPO13, CLSTN1, MLC1, RAB22A, SEPTIN10, PPP3CA, ODR4, CDC23, KIF1B, AP3S1, NEO1, APPL2, RAB8A, JAK1, KPNA1, BRD2, MED1, STARD4, TANGO6, COG7, COG6, SGIP1, EXOC7, STRADB, VPS33B, ARRDC3, ARHGEF18, ESCO2, ARFGAP2, RAB33B, TOM1L1, INCENP, LRRC7, NUP50, WDPCP, NUP54, KIF20A, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, SLC66A2, STXBP3, NAXE, CTBP1, ARL1, B3GLCT, VPS26C, CDCA8, NMD3, ZDHHC22, EHBP1, CLN5, MTM1, RAB21, CDC42, MAPK9, FCHO2, TRIM46, EMC4, RAB11FIP2, EPS15, ANKRD50, SNX5, REPS1, RIC3, TRMT10B, PTPRN2, MTX3, STAT3, DHCR24, CPLANE1, STAM, BAIAP2, GDAP1, MLH3, ARCN1, KLHL20, TIMM10B, EHD1, DLG1, NECAP1, NF1, TACC3, RAD17, SEC24C	398	2826	19339	1.5818547799151454	0.0233618738881336	0.003939837168788381	0.003931529171009774
GOTERM_BP_FAT	GO:0071705~nitrogen compound transport	60	13.953488372093023	7.078540146101135E-6	IPO13, CLSTN1, MLC1, RAB22A, PPP3CA, AP3S1, NEO1, APPL2, RAB8A, KPNA1, MED1, TANGO6, COG7, COG6, EXOC7, STRADB, VPS33B, ARRDC3, ARFGAP2, RAB33B, TOM1L1, SLC7A6, LRRC7, NUP50, NUP54, KIF20A, CD47, RAF1, SFT2D2, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, STXBP3, ARL1, B3GLCT, VPS26C, NMD3, EHBP1, MTM1, RAB21, RAB11FIP2, EPS15, ANKRD50, SNX5, TRMT10B, PTPRN2, MTX3, STAT3, STAM, ARCN1, KLHL20, TIMM10B, EHD1, SLC25A38, NECAP1, NF1, SLC25A32, SEC24C	398	1596	19339	1.826708731628065	0.02975951571587243	0.0043158870490799485	0.004306786068892105
GOTERM_BP_FAT	GO:0006996~organelle organization	100	23.25581395348837	2.797314537236834E-5	RB1, NCKAP1, SERPINE2, PWP2, PTPDC1, SLK, CDC23, PLS3, DENR, COG7, SEMA6A, COG6, TPM2, BROX, VPS33B, ZFP69B, P3H4, ESCO2, ATAD3B, POLG2, MSH3, WDPCP, KIF20A, RAF1, TLN1, COX19, SEH1L, B3GLCT, ARL1, NAIF1, CDCA8, PDS5B, MTM1, BCL2L13, HMBOX1, SRGAP2, CPLANE1, STAM, KLHL20, TIMM10B, EHD1, TBCK, DLG1, TUBGCP5, NF1, RETREG2, RETREG1, CDS2, SLC35F6, FEN1, MAST4, HMGB2, UFSP2, KIF11, RAB22A, TRIOBP, DNALI1, RO60, BMERB1, NEFM, AP3S1, RAB8A, OFD1, CCDC115, ARHGEF18, SIRT5, MTSS1, ARFGAP2, RAB33B, INCENP, PALLD, NUP54, ITGB3BP, SNAP47, NIP7, EHBP1, PET117, CLN5, CDC42, CHN2, TRIM46, BNIP1, EMC4, POC1B, EPS15, TRMT10B, MTX3, SCLT1, RANBP9, SORBS2, TUBE1, BAIAP2, GDAP1, MLH3, ATAT1, MFSD14A, PPP2R2D, TACC3, TRIP13, SEC24C	398	3275	19339	1.4836779316429474	0.11253931244721993	0.014923673056158509	0.014892203267614595
GOTERM_BP_FAT	GO:0045648~positive regulation of erythrocyte differentiation	7	1.627906976744186	4.99116531940455E-5	FAM210B, STAT5B, MED1, BRD1, STAT3, HMGB2, ACVR2A	398	33	19339	10.307065631186235	0.19186669462749384	0.023669215092465133	0.02361930343927109
GOTERM_BP_FAT	GO:0051649~establishment of localization in cell	60	13.953488372093023	6.443570495206341E-5	RB1, ITSN2, IPO13, RAB22A, PPP3CA, CDC23, KIF1B, AP3S1, APPL2, RAB8A, KPNA1, MED1, STARD4, COG7, SGIP1, EXOC7, STRADB, VPS33B, ARFGAP2, INCENP, LRRC7, NUP50, WDPCP, NUP54, RAF1, ARL8A, SEC22C, NAPB, SNAP47, SEH1L, SLC66A2, STXBP3, CTBP1, ARL1, VPS26C, CDCA8, NMD3, CLN5, MTM1, RAB21, CDC42, FCHO2, TRIM46, RAB11FIP2, EPS15, ANKRD50, SNX5, REPS1, TRMT10B, PTPRN2, STAT3, STAM, ARCN1, KLHL20, TIMM10B, EHD1, DLG1, NF1, TACC3, SEC24C	398	1722	19339	1.6930471171186945	0.24044340940952735	0.027501158873540665	0.027443166739083806
