Gene	Type
SETD1A	schizophrenia
CUL1	schizophrenia
XPO7	schizophrenia
TRIO	schizophrenia
CACNA1G	schizophrenia
SP4	schizophrenia
GRIA3	schizophrenia
GRIN2A	schizophrenia
HERC1	schizophrenia
RB1CC1	schizophrenia
HCN4	schizophrenia
AKAP11	schizophrenia
ZNF136	schizophrenia
SRRM2	schizophrenia
NR3C2	schizophrenia
ZMYM2	schizophrenia
FAM120A	schizophrenia
FAM178A	schizophrenia
KDM6B	schizophrenia
DNM3	schizophrenia
ASH1L	schizophrenia
STAG1	schizophrenia
HIST1H1E	schizophrenia
PREP	schizophrenia
MAGEC1	schizophrenia
MAGI2	schizophrenia
DAGLA	schizophrenia
OR4P4	schizophrenia
SLC22A11	schizophrenia
ANKRD12	schizophrenia
SV2A	schizophrenia
EIF2S3	schizophrenia
PCLO	schizophrenia
SOBP	schizophrenia
BSCL2	schizophrenia
NR4A2	schizophrenia
XKR6	schizophrenia
ATP9A	schizophrenia
FYN	schizophrenia
CRAT	schizophrenia
NPRL3	schizophrenia
SCAF1	schizophrenia
MPPED1	schizophrenia
SLC34A2	schizophrenia
ZNF318	schizophrenia
CGREF1	schizophrenia
POTEF	schizophrenia
FABP7	schizophrenia
TRAPPC10	schizophrenia
PTGER1	schizophrenia
PCNXL3	schizophrenia
HMGCR	schizophrenia
CACNA2D1	schizophrenia
SRPK1	schizophrenia
OR2T8	schizophrenia
ZMYND11	schizophrenia
LMBR1L	schizophrenia
KCNN3	schizophrenia
SLITRK5	schizophrenia
SLC25A43	schizophrenia
S100P	schizophrenia
ABHD13	schizophrenia
RAB7L1	schizophrenia
ZFC3H1	schizophrenia
HERPUD2	schizophrenia
PUM2	schizophrenia
IPMK	schizophrenia
MACF1	schizophrenia
OTUD4	schizophrenia
ADNP	schizophrenia
CSPG5	schizophrenia
UBE2E3	schizophrenia
CRB1	schizophrenia
ATP1A2	schizophrenia
HMGB2	schizophrenia
PROM1	schizophrenia
TEFM	schizophrenia
OMG	schizophrenia
PATZ1	schizophrenia
CNOT4	schizophrenia
NRXN1	schizophrenia
JAK3	schizophrenia
SMARCA1	schizophrenia
TSC22D1	schizophrenia
CHAF1B	schizophrenia
RYR2	schizophrenia
CLPTM1	schizophrenia
POLRMT	schizophrenia
LZIC	schizophrenia
BOD1L1	schizophrenia
DCTN5	schizophrenia
ZNF98	schizophrenia
PSMA3	schizophrenia
GAL3ST2	schizophrenia
SMG7	schizophrenia
NAMPT	schizophrenia
HIVEP2	schizophrenia
FAM71F2	schizophrenia
SLX4IP	schizophrenia
PCDHAC1	schizophrenia
DYNC2H1	schizophrenia
ATF2	schizophrenia
QRICH1	schizophrenia
FBXO16	schizophrenia
CHD5	schizophrenia
TUBB8	schizophrenia
RBM4	schizophrenia
CRIPAK	schizophrenia
C16orf87	schizophrenia
PSMD11	schizophrenia
MUC16	schizophrenia
SATB1	schizophrenia
WDTC1	schizophrenia
TACC1	schizophrenia
AP3D1	schizophrenia
CSTL1	schizophrenia
T	schizophrenia
TRPV1	schizophrenia
CAMTA1	schizophrenia
CCDC178	schizophrenia
TMPRSS11E	schizophrenia
COL24A1	schizophrenia
EPHB2	schizophrenia
TLK2	schizophrenia
PPRC1	schizophrenia
KIF3C	schizophrenia
JARID2	schizophrenia
PIK3R4	schizophrenia
PTK2	schizophrenia
ARHGEF4	schizophrenia
ICK	schizophrenia
NELFCD	schizophrenia
PAX4	schizophrenia
BCL6	schizophrenia
GOLGB1	schizophrenia
ARHGAP12	schizophrenia
NOL6	schizophrenia
CYP11B1	schizophrenia
RNFT1	schizophrenia
AXL	schizophrenia
KHDRBS2	schizophrenia
DNAJC2	schizophrenia
ATP2B1	schizophrenia
LRP5	schizophrenia
ZNFX1	schizophrenia
LPHN1	schizophrenia
TMEM92	schizophrenia
RAC3	schizophrenia
DLAT	schizophrenia
PSMG3	schizophrenia
SLC31A1	schizophrenia
AKT1	schizophrenia
NFIC	schizophrenia
RANBP9	schizophrenia
C17orf58	schizophrenia
CSNK1A1	schizophrenia
ALOX12	schizophrenia
ADCY5	schizophrenia
BSN	schizophrenia
TAF15	schizophrenia
AARS2	schizophrenia
LIN7A	schizophrenia
KCNV1	schizophrenia
MYO5A	schizophrenia
MLLT1	schizophrenia
TBKBP1	schizophrenia
SMAD9	schizophrenia
FBXO34	schizophrenia
KIAA0391	schizophrenia
SMARCAD1	schizophrenia
NPSR1	schizophrenia
UBXN7	schizophrenia
SNX9	schizophrenia
AMER3	schizophrenia
PPAN	schizophrenia
KLHL3	schizophrenia
ZNF366	schizophrenia
DSCAM	schizophrenia
TSPYL5	schizophrenia
DEFB125	schizophrenia
STRBP	schizophrenia
BRSK2	schizophrenia
PLEKHM1	schizophrenia
NEIL3	schizophrenia
SORCS1	schizophrenia
ANK2	schizophrenia
GTF3C4	schizophrenia
MAPK4	schizophrenia
SLC12A2	schizophrenia
SLC36A1	schizophrenia
