gene_id	Ex	In	Pro
AAAS	0.949579831932773	1	0.865168539325843
AADAT	0.69758064516129	0.858695652173913	0.489583333333333
AAGAB	0.530769230769231	NA	0.578947368421053
AAK1	0.75	NA	NA
AAMDC	0.0625	NA	0
AARS2	0.3	1	0.45
AARSD1	0.963369963369963	1	0.966666666666667
AASDH	0.363636363636364	NA	0
AASDHPPT	0.597902097902098	0.478260869565217	0.595294117647059
ABAT	0.545454545454545	0	0.655172413793103
ABCA11P	0.588235294117647	0	0.5
ABCB6	0.984375	1	0.96
ABCB7	0.512987012987013	0.764705882352941	0.476190476190476
ABCB9	0.701639344262295	NA	NA
ABCC10	0.363636363636364	0	0.315789473684211
ABCC5	0.0384615384615385	0.166666666666667	0.294117647058824
ABCD2	0.305555555555556	NA	NA
ABCD3	0.58187134502924	0.888888888888889	0.432748538011696
ABCD4	0.801724137931034	1	0.901785714285714
ABCE1	0.405450041288192	0.309523809523809	0.565637065637066
ABCF1	0.233766233766234	0.305555555555556	0.3046875
ABCF2	0.58955223880597	0.0714285714285714	0.480769230769231
ABHD10	0.555194805194805	0.714285714285714	0.604838709677419
ABHD11	0.440217391304348	0.5	0.359375
ABHD12	0.607407407407407	0.545454545454545	0.602739726027397
ABHD13	0.56	0.5	0.551724137931034
ABHD17B	0.7	0.6	0.489285714285714
ABHD18	0.450354609929078	0.5	0.606382978723404
ABHD2	0.366666666666667	1	0.5
ABHD3	0.679487179487179	NA	0.745934959349594
ABHD5	0.604651162790698	0.5	0.5
ABHD6	0.910071942446043	1	0.888888888888889
ABI1	0.556953179594689	0.595238095238095	0.525179856115108
ABI2	0.549659863945578	0.5	0.555555555555556
ABITRAM	0.783582089552239	1	0.6015625
ABLIM1	0.520547945205479	NA	NA
ABLIM2	0	NA	1
ABR	0.832142857142857	0.571428571428571	0.77
ABRACL	0.912237330037083	0.92	0.959459459459459
ABRAXAS1	0.583333333333333	0	0.5
ABRAXAS2	0.229411764705882	0.5	0.30188679245283
ABT1	0.0386740331491713	0.25	0.0481927710843374
ACAA2	0.841584158415842	NA	0.828767123287671
ACAD9	0.971428571428571	1	0.553846153846154
ACADL	1	NA	0.583333333333333
ACADM	0.475446428571429	0.308270676691729	0.505226480836237
ACADSB	NA	NA	0.476190476190476
ACADVL	0.866666666666667	1	0.885135135135135
ACAP2	0.312925170068027	0.0476190476190476	0.326007326007326
ACAP3	0.372093023255814	0.625	0.5625
ACAT1	0.889090909090909	0.784615384615385	0.780327868852459
ACAT2	0.766832917705736	0.655172413793103	0.802303262955854
ACBD3	0.482758620689655	0.25	0.560810810810811
ACBD5	0.456427015250545	0.355555555555556	0.384990253411306
ACBD6	0.684782608695652	0.786585365853659	0.598360655737705
ACBD7	NA	NA	0.647058823529412
ACER3	0.515151515151515	NA	0.753623188405797
ACIN1	0.716962025316456	0.733333333333333	0.739130434782609
ACLY	0.885650224215247	0.785714285714286	0.900423728813559
ACO1	0.596153846153846	NA	0.708333333333333
ACOT9	0.161290322580645	NA	0
ACOX1	0.696969696969697	0.666666666666667	0.384615384615385
ACOX3	0.37037037037037	NA	0.772727272727273
ACP1	0.825356842989085	0.833333333333333	0.808837656099904
ACSBG1	1	NA	0.933333333333333
ACSL1	0.641025641025641	NA	1
ACSL3	0.402255639097744	0.298701298701299	0.471428571428571
ACSL4	0.331262939958592	0.333333333333333	0.427536231884058
ACSS2	0.694444444444444	NA	0.815789473684211
ACTL6A	0.849162011173184	0.97	0.951724137931034
ACTL6B	0.92910447761194	0.714285714285714	0.5
ACTN1	0.470588235294118	NA	0.181818181818182
ACTN2	0.390243902439024	NA	NA
ACTN4	0.622641509433962	0	0.481481481481481
ACTR10	0.960884353741497	0.920454545454546	0.987261146496815
ACTR1A	0.858006042296072	0.886792452830189	0.825327510917031
ACTR2	0.639325842696629	0.563008130081301	0.64859437751004
ACTR3	0.564077669902913	0.559183673469388	0.647016274864376
ACTR3B	0.891324200913242	1	0.783403656821378
ACTR5	0.680555555555556	1	0.947368421052632
ACTR6	0.784883720930233	0.818181818181818	0.916666666666667
ACTR8	0.579661016949153	0.4	0.631111111111111
ACVR2A	0.234146341463415	0	0.532
ACYP1	0.941176470588235	0.846153846153846	0.943661971830986
ACYP2	0.83982683982684	1	0.727891156462585
ADAM10	0.275735294117647	0.3	0.461038961038961
ADAM17	0.0588235294117647	NA	0.642857142857143
ADAM9	1	0.75	0.739130434782609
ADAMTS10	0.88	1	1
ADAMTS7	0.884615384615385	1	0.416666666666667
ADAMTS9	0	NA	0.620689655172414
ADAR	0.337037037037037	0.487179487179487	0.438202247191011
ADARB1	0.45	0	NA
ADAT1	0.608163265306122	0.6	0.444444444444444
ADAT2	0.8125	NA	0.125
ADCYAP1R1	0.666666666666667	NA	1
ADD1	0.270531400966184	0.55	0.457894736842105
ADD2	0.496904024767802	0.535714285714286	0.638157894736842
ADD3	0.0693181818181818	0	0.1875
ADGRB3	0.676425269645609	0.766233766233766	0.73900293255132
ADGRG1	0.817391304347826	1	1
ADGRG6	0.363636363636364	NA	0.429245283018868
ADGRL1	0.625	1	1
ADGRL2	0.308474576271186	NA	0.4125
ADGRL3	0.452173913043478	0.633333333333333	0.2
ADGRV1	0.775	NA	0.73046875
ADH5	0.680689655172414	0.311111111111111	0.654320987654321
ADI1	0.679127725856698	0.5	0.72463768115942
ADIPOR1	0.852601156069364	0.611111111111111	0.951219512195122
ADIPOR2	0.547803617571059	0.25	0.447368421052632
ADK	0.286036036036036	0.0714285714285714	0.507415254237288
ADNP	0.142857142857143	NA	0
ADNP2	0.666666666666667	NA	0.2
ADPGK	0.816455696202532	0.916666666666667	0.479166666666667
ADSS2	0.741935483870968	0	0.88
AEBP1	0.2	NA	0.5
AEBP2	0.271186440677966	0.2	0.5
AFAP1	0.364406779661017	0.357142857142857	0.25
AFDN	0.230346820809249	0.0727272727272727	0.294520547945205
AFDN-DT	0.280612244897959	0.272727272727273	0.23943661971831
AFF2	0.470588235294118	0	0.857142857142857
AFF3	0.520833333333333	NA	0.392857142857143
AFF4	0.431774503523382	0.571428571428571	0.363839285714286
AFG1L	0.8	NA	1
AFG3L1P	0.570212765957447	0.54	0.222222222222222
AFG3L2	0.68724279835391	0.333333333333333	0.821428571428572
AFMID	0.847457627118644	1	0.823529411764706
AFTPH	0.265463917525773	0.0277777777777778	0.433333333333333
AGA	0.369565217391304	NA	0.916666666666667
AGAP1	0.586206896551724	NA	NA
AGAP2	0.151162790697674	0	0.333333333333333
AGAP3	0.88953488372093	0.75	0.764705882352941
AGAP4	0.517730496453901	NA	0.416666666666667
AGAP5	0.9	1	1
AGAP6	0.460905349794239	0	0.478260869565217
AGAP9	0.426229508196721	0	0.681818181818182
AGBL5	0.147058823529412	1	0.102040816326531
AGFG1	0.0952380952380952	0	0.3125
AGGF1	0.337209302325581	0.32716049382716	0.272727272727273
AGK	0.484090909090909	0.258823529411765	0.447619047619048
AGL	0.433673469387755	0.583333333333333	0.578125
AGO1	0.228464419475655	0.393939393939394	0.141242937853107
AGO2	0.8125	1	1
AGO3	0.290909090909091	0	0.00666666666666667
AGO4	0.347826086956522	1	0
AGPAT3	1	NA	0.923076923076923
AGPAT4	0.416666666666667	0.333333333333333	0.435483870967742
AGPAT5	0.275420875420875	0.185714285714286	0.272727272727273
AGPS	0.689189189189189	NA	0.783333333333333
AGTPBP1	0.618055555555556	1	0.916666666666667
AHCTF1	0.615384615384615	NA	0.5
AHCYL1	0.652439024390244	0.5	0.545212765957447
AHI1	0.4875	NA	0.407894736842105
AHNAK2	0.38	NA	NA
AHSA1	1	NA	0.5
AHSA2P	1	NA	0.435483870967742
AIDA	0.485714285714286	0.5	0.465648854961832
AIF1L	1	NA	0.93
AIFM2	NA	NA	0.681818181818182
AIG1	0.342592592592593	0	0.416666666666667
AIMP1	0.401277584204414	0.171428571428571	0.550066755674232
AK1	0.0733137829912024	0.06	0.112745098039216
AK2	0.272264631043257	0	0.476190476190476
AK3	0.62962962962963	0.928571428571428	0.737179487179487
AK5	0.4375	NA	0.269230769230769
AK6	0.818428184281843	0.833333333333333	0.790598290598291
AK9	0.140350877192982	0	0.587301587301587
AKAIN1	0.558823529411765	NA	0.5
AKAP10	0.5	NA	0.518518518518518
AKAP11	0.250393700787402	0.133333333333333	0.3125
AKAP12	0.345794392523364	0.166666666666667	0.439506172839506
AKAP13	0.488343558282209	0.2	0.414925373134328
AKAP17A	0.287262872628726	0.422222222222222	0.204545454545455
AKAP7	0.78974358974359	0.983333333333333	0.82183908045977
AKAP8	0.272435897435897	0.645833333333333	0.100877192982456
AKAP8L	0.839285714285714	1	1
AKAP9	0.434471250782173	0.353036437246964	0.28808864265928
AKIP1	0.777777777777778	0.952380952380952	0.79
AKIRIN1	0.693089430894309	0.5625	0.593283582089552
AKIRIN2	0.787804878048781	0.858064516129032	0.726933333333333
AKR1A1	0.864452423698384	0.810810810810811	0.904494382022472
AKR1C1	0.969298245614035	0.948717948717949	1
AKR7A2	NA	NA	0.428571428571429
AKT1	0.927272727272727	1	0.5625
AKT2	0.431034482758621	NA	0.401041666666667
AKT3	0.354326676907322	0.396825396825397	0.291358024691358
AKTIP	0.55852417302799	0.555555555555556	0.52363184079602
ALAD	0.573934837092732	0.333333333333333	0.358974358974359
ALCAM	0.684210526315789	NA	0.384615384615385
ALDH16A1	0.833333333333333	1	0.296296296296296
ALDH18A1	0.96	1	0.911764705882353
ALDH1B1	0.533582089552239	1	0.55
ALDH1L2	0.608695652173913	NA	0.2
ALDH2	0.778350515463917	0.692307692307692	0.971479500891266
ALDH3A2	0.416883116883117	0.395604395604396	0.38265306122449
ALDH5A1	0.277777777777778	0	0.647058823529412
ALDH6A1	0.69047619047619	NA	0.580188679245283
ALDH7A1	0.494285714285714	0.6	0.595454545454545
ALG1	0.333333333333333	0	0.645161290322581
ALG11	0.572	0.327272727272727	0.525490196078431
ALG13	0.4875	0.5	0.654545454545455
ALG14	0.24	NA	0.230769230769231
ALG3	0.184615384615385	0	0.3125
ALG5	0.048	0	0.0618556701030928
ALG6	0.779874213836478	0.833333333333333	0.879432624113475
ALG9	0.173611111111111	0	0.105263157894737
ALKAL2	0.615384615384615	NA	NA
ALKBH1	0.105263157894737	0	0.458333333333333
ALKBH4	0.625	0	0
ALKBH7	0.0563991323210412	0.105263157894737	0.0130718954248366
ALKBH8	0.888888888888889	1	0.5
ALPK1	0.234375	NA	0.6
ALS2	0.390909090909091	0	0.117647058823529
AMACR	0.0526315789473684	0.5	0.694444444444445
AMD1	0.591489361702128	0.3	0.583870967741935
AMDHD2	0.529411764705882	NA	0.363636363636364
AMER2	0.1875	0	0.0212765957446809
AMMECR1	1	NA	0.428571428571429
AMN1	0.8125	0.6875	0.533333333333333
AMOTL1	0.414634146341463	NA	0.25
AMPH	0.809523809523809	1	0.316666666666667
AMY2B	0.6875	0.666666666666667	0.214285714285714
AMZ2	0.928641251221896	1	0.903225806451613
AMZ2P1	0.901075268817204	0.96078431372549	0.942028985507246
ANAPC10	0.0645161290322581	0	0.3
ANAPC11	0.0461783439490446	0.103448275862069	0.070281124497992
ANAPC13	0.960144927536232	0.96	0.952127659574468
ANAPC16	0.685925925925926	0.8	0.577049180327869
ANAPC4	0.780952380952381	1	0.847826086956522
ANAPC5	0.618469918296608	0.604395604395604	0.61859410430839
ANAPC7	0.779935275080906	0.633333333333333	0.818666666666667
ANGEL1	0.423076923076923	NA	0.866666666666667
ANGEL2	0.267241379310345	0.4375	0.267241379310345
ANGPTL2	1	NA	0.166666666666667
ANK2	0.443178220955999	0.6	0.295497185741088
ANK3	0.584415584415584	NA	0.603174603174603
ANKAR	0.733333333333333	1	0
ANKDD1A	0.717948717948718	NA	0.789473684210526
ANKFY1	0.636363636363636	NA	0.333333333333333
ANKH	0.565543071161049	NA	0.366666666666667
ANKHD1	0.48	0.486111111111111	0.473333333333333
ANKIB1	0.300522648083624	0.446969696969697	0.243399339933993
